,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
39,128,0.1488,5.1471,2.5577,1.4883,0.0000,3.9615,4.1563,4.1771,4.1142,3.0848,3.1065,3.8590,4.1832,4.2666,4.2351,4.6749,4.7729,0.0000,0.0000,4.1187,4.1633,4.0414,4.1478,3.9216,4.2181,243.0000,0.0000,0.0000,
42,128,0.1517,6.6731,2.8111,1.5714,0.0000,4.7921,4.9273,4.9184,4.9210,3.8347,3.8776,4.8282,4.9625,5.0550,5.0470,5.0679,5.1477,0.0000,0.0000,4.8663,4.9118,4.7558,4.9148,4.9197,5.0167,335.0000,0.0000,0.0000,
22,128,0.1833,9.9496,3.3664,1.7779,0.0000,6.3766,6.4659,6.4775,5.8886,5.1572,5.2965,6.4184,6.5314,6.7708,6.7997,6.6085,6.6005,0.0000,0.0000,6.4763,6.4692,6.4784,6.5338,6.5937,6.6950,553.0000,0.0000,0.0000,
11,128,0.1731,11.3898,3.4211,1.7399,0.0000,6.3138,6.5243,6.5188,6.1840,5.2207,5.2681,6.4313,6.5928,6.9452,6.9551,6.4629,6.6576,0.0000,0.0000,6.4037,6.5227,6.4423,6.6387,6.5365,6.7551,569.0000,0.0000,0.0000,
23,128,0.2829,12.3981,3.8862,1.7823,0.0000,7.0849,7.2928,7.3086,7.1599,6.0562,6.1869,6.9799,7.3051,7.8683,7.8164,7.3826,7.3872,0.0000,0.0000,7.2356,7.3113,7.2685,7.4133,7.2081,7.6039,685.0000,0.0000,0.0000,
8,128,0.2246,12.6010,3.7106,1.7021,0.0000,7.1253,7.3467,7.3339,7.1869,6.2632,6.2132,7.1914,7.4149,8.0008,8.0282,7.2452,7.4971,0.0000,0.0000,7.3491,7.3411,7.3864,7.5196,7.3779,7.6063,710.0000,0.0000,0.0000,
26,128,0.1976,13.5996,3.8583,1.7948,0.0000,7.4124,7.4801,7.5492,7.4634,6.0942,5.9649,7.5124,7.5887,8.1931,8.3361,7.6497,7.6881,0.0000,0.0000,7.4359,7.5366,7.5342,7.7711,7.7500,7.8558,735.0000,0.0000,0.0000,
30,128,0.2839,13.1272,3.9228,1.8354,0.0000,7.6359,7.6866,7.6969,7.4086,6.7628,6.6452,7.7587,7.7854,8.5500,8.5608,7.6863,7.6196,0.0000,0.0000,7.6462,7.7215,7.7281,7.9023,7.8927,8.0284,783.0000,0.0000,0.0000,
40,128,0.2158,14.0558,4.0636,1.7818,0.0000,7.6700,7.7906,7.7963,7.6784,6.6194,6.4334,7.6492,7.8661,8.5936,8.6653,7.7635,7.9720,0.0000,0.0000,7.6101,7.7760,7.8478,8.0739,7.8836,8.2203,785.0000,0.0000,0.0000,
48,128,0.3058,18.3794,4.5113,1.9127,0.0000,8.8079,9.0748,9.0714,8.4614,7.8157,7.5771,9.1446,9.2245,10.7404,10.7152,9.2366,9.2316,0.0000,0.0000,8.9307,9.1458,9.3362,9.5261,9.5004,9.6644,1062.0000,0.0000,0.0000,
