,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
33,16,0.0096,0.0158,0.0291,0.0071,0.0000,2.4612,4.9694,13.0574,6.1273,3.0157,3.2339,4.7155,6.7435,5.5050,6.9196,4.2659,6.6059,0.0000,0.0000,6.2294,6.3601,5.8485,6.7388,2.9164,6.8233,16.0000,0.0000,0.0000,
42,16,0.0103,0.0305,0.0231,0.0091,0.0000,3.3821,6.2540,6.8944,6.4653,4.2306,4.8680,6.8546,9.0876,7.8884,7.6260,8.3393,8.3010,0.0000,0.0000,7.3022,8.3628,8.4690,7.4885,7.2819,8.1412,22.0000,0.0000,0.0000,
1,16,0.0758,0.0489,0.0244,0.0111,0.0000,0.6109,0.7402,2.6142,3.6671,4.5205,4.9659,9.5027,11.6645,11.5673,11.1681,11.4712,10.6260,0.0000,0.0000,12.2658,11.0314,10.2575,10.8867,8.5100,9.8980,35.0000,0.0000,0.0000,
8,16,0.0119,0.0444,0.0241,0.0083,0.0000,1.3388,2.4232,6.0781,11.8562,5.6656,6.3418,8.0222,11.3397,10.6778,10.8771,7.4746,10.1417,0.0000,0.0000,8.4106,9.9821,9.5601,11.0557,8.1066,10.9067,21.0000,0.0000,0.0000,
51,16,0.0125,0.0544,0.0226,0.0093,0.0000,5.3626,8.4528,8.6774,8.5805,5.4587,6.2389,6.7382,9.5717,9.0750,8.5631,7.5446,8.6530,0.0000,0.0000,8.3334,8.7436,6.3408,7.7825,6.1768,8.7223,25.0000,0.0000,0.0000,
49,16,0.0120,0.0631,0.0226,0.0095,0.0000,8.7343,10.1605,9.9237,11.5034,5.9664,6.8194,9.2695,11.4494,9.9308,10.1728,8.3266,9.5062,0.0000,0.0000,10.0785,10.1318,8.1660,9.9709,8.9926,10.9776,31.0000,0.0000,0.0000,
45,16,0.0124,0.0679,0.0229,0.0100,0.0000,7.6767,10.8004,11.7531,12.9895,7.3931,9.4418,10.5744,12.6601,12.3770,8.1191,7.9899,11.1844,0.0000,0.0000,10.6768,10.2805,8.0080,10.4641,9.5021,5.2068,36.0000,0.0000,0.0000,
11,16,0.0136,0.0644,0.0286,0.0095,0.0000,19.4696,21.8192,20.1255,16.5980,10.4378,14.7144,19.2309,19.6190,20.3831,18.8065,0.0889,0.0674,0.0000,0.0000,0.0524,0.0495,0.0542,0.0579,0.0557,0.0608,46.0000,0.0000,0.0000,
20,16,0.0127,0.0507,0.0234,0.0096,0.0000,12.1292,16.1694,15.7168,15.8097,20.0281,8.8396,16.9790,8.7433,10.3110,10.1279,8.7701,9.6021,0.0000,0.0000,7.0887,10.3731,8.2725,2.3886,0.4263,0.0679,31.0000,0.0000,0.0000,
17,16,0.0160,0.0869,0.0291,0.0108,0.0000,19.9690,23.5163,34.4561,17.0993,10.8696,13.5373,20.1926,20.9256,20.6556,0.1168,0.0719,0.0718,0.0000,0.0000,0.0567,0.0561,0.0659,0.0783,0.0896,0.0795,49.0000,0.0000,0.0000,
28,16,0.0170,0.0669,0.0271,0.0097,0.0000,20.1448,20.7404,20.7116,16.2223,13.0829,11.6094,20.0336,20.2670,18.7991,18.4457,1.4036,0.0683,0.0000,0.0000,0.0494,0.0538,0.1260,0.1055,0.0599,0.0749,43.0000,0.0000,0.0000,
30,16,0.0171,0.1107,0.0314,0.0101,0.0000,21.5392,27.8365,26.5323,14.5481,13.5177,14.5086,19.1106,38.0847,5.5500,0.0979,0.0812,0.0795,0.0000,0.0000,0.0632,0.0663,0.1121,0.1184,0.0919,0.1075,59.0000,0.0000,0.0000,
3,16,0.0177,0.0591,0.0302,0.0107,0.0000,3.3462,13.3359,19.9291,14.6848,11.6638,12.3598,26.6066,23.7606,18.9076,19.0675,17.6334,5.0651,0.0000,0.0000,0.0427,0.0601,0.1653,0.1076,0.0918,0.1211,40.0000,0.0000,0.0000,
9,16,0.0152,0.0690,0.0267,0.0124,0.0000,9.4614,22.9167,23.2355,18.9803,14.4633,14.7012,19.1090,22.3598,20.2589,19.5342,0.0951,0.0705,0.0000,0.0000,0.0577,0.0606,0.1929,0.1520,0.0917,0.0827,48.0000,0.0000,0.0000,
5,16,0.0245,0.1258,0.0375,0.0104,0.0000,8.3666,23.5535,28.3560,24.0146,19.5325,19.5465,21.0775,25.8089,15.6872,0.1511,0.0919,0.0939,0.0000,0.0000,0.0777,0.0824,0.2416,0.1995,0.1276,0.1389,94.0000,0.0000,0.0000,
35,16,0.0302,0.1040,0.0319,0.0101,0.0000,32.3807,33.9978,31.9404,30.7169,24.1648,25.3516,2.5208,0.0826,0.1394,0.1394,0.0859,0.0769,0.0000,0.0000,0.0735,0.0822,0.2318,0.2606,0.1151,0.0973,87.0000,0.0000,0.0000,
25,16,0.0112,0.0493,0.0245,0.0102,0.0000,12.2757,15.9156,14.9653,11.2732,7.9563,8.6402,12.7957,13.7138,11.8657,15.3389,12.8238,12.8956,0.0000,0.0000,12.6716,15.8815,2.7196,0.2613,0.0625,0.0565,30.0000,0.0000,0.0000,
41,16,0.0236,0.1127,0.0315,0.0117,0.0000,14.6209,19.0396,20.8041,17.4480,12.2243,11.9919,15.9161,16.0224,17.4323,17.2806,19.0044,0.1175,0.0000,0.0000,0.0692,0.0832,0.3053,0.3602,0.1328,0.1411,64.0000,0.0000,0.0000,
43,16,0.0231,0.1060,0.0327,0.0106,0.0000,24.0751,27.2986,25.4516,21.2272,18.5173,21.6945,22.0279,17.7553,0.1189,0.1049,0.0785,0.0812,0.0000,0.0000,0.0796,0.0811,0.2954,0.2719,0.1049,0.0993,63.0000,0.0000,0.0000,
19,16,0.0160,0.0941,0.0306,0.0103,0.0000,21.1498,27.2066,26.1965,19.3117,13.3592,18.1914,17.9762,25.1536,12.8678,0.0983,0.0749,0.0729,0.0000,0.0000,0.0731,0.0884,0.2995,0.2963,0.1044,0.0912,58.0000,0.0000,0.0000,
52,16,0.0179,0.0641,0.0296,0.0139,0.0000,19.9883,17.7188,18.0919,11.1752,11.8309,11.6429,19.2241,17.5345,18.4402,9.8659,0.0755,0.9080,0.0000,0.0000,0.0681,0.0639,0.3725,0.3271,0.0753,0.0753,40.0000,0.0000,0.0000,
23,16,0.0179,0.0968,0.0298,0.0113,0.0000,47.4007,58.3919,27.2973,18.7634,20.3801,8.8466,0.0768,0.0866,0.1056,0.0911,0.0906,0.0857,0.0000,0.0000,0.0782,0.0697,0.4599,0.2800,0.0846,0.0763,67.0000,0.0000,0.0000,
44,16,0.0154,0.0749,0.0260,0.0118,0.0000,20.1835,20.7350,20.4619,17.2458,12.6749,10.1545,18.1207,20.4554,19.3995,19.0535,2.4391,0.0970,0.0000,0.0000,0.0771,0.0759,0.4091,0.2680,0.0715,0.0692,42.0000,0.0000,0.0000,
4,16,0.0165,0.0700,0.0270,0.0106,0.0000,3.9607,10.2960,13.9159,10.0230,12.4554,11.9347,15.4598,27.7864,14.8634,13.3466,15.0140,12.0368,0.0000,0.0000,12.5489,12.8114,0.4235,0.4760,0.1125,0.1089,50.0000,0.0000,0.0000,
2,16,0.0162,0.0723,0.0270,0.0103,0.0000,5.3077,24.8777,25.9798,23.5781,15.2819,13.7578,22.4984,24.1565,22.7605,7.1516,0.0702,1.0925,0.0000,0.0000,0.0748,0.1047,0.3509,0.2415,0.0590,0.0769,56.0000,0.0000,0.0000,
27,16,0.0188,0.0872,0.0289,0.0110,0.0000,21.5466,25.4617,26.3456,18.9433,13.3704,15.8288,20.1647,22.4673,17.6302,0.1120,0.0859,0.0994,0.0000,0.0000,0.0892,0.0917,0.3217,0.2729,0.0712,0.0734,54.0000,0.0000,0.0000,
