,V,GraphT,DLoopT,BellmanT,FloydT,BestT,MinEdCT,MaxEdCT,MinEdWT,MaxEdWT,MiECnMaIn,MaECnMaIn,MiEdWeNeWe,MaEdWeNeWe,MinCoefT,MaxCoefT,MinEigT,MaxEigT,MinEcce,MaxEcce,MinKCore,MaxKCore,MinTria,MaxTria,MinTwoHop,MaxTwoHop,EdgeCnt,Perm,pSkip
4,64,0.0908,0.7077,0.2665,0.1737,0.0000,0.6090,0.7864,0.7760,0.7748,0.7274,0.8383,0.7247,0.8568,0.8470,0.8370,0.9036,0.9543,0.0000,0.0000,0.8060,0.8099,1.2119,1.2738,0.7514,0.8550,73.0000,0.0000,0.0000,
9,64,0.0601,0.7557,0.2982,0.1675,0.0000,0.6637,0.8311,0.7903,0.7941,1.8815,3.2383,0.8984,0.9456,0.7390,1.0177,0.8819,0.9566,0.0000,0.0000,0.8281,0.8476,1.3389,1.5419,0.7842,0.9234,77.0000,0.0000,0.0000,
8,64,0.0683,0.8377,0.3992,0.1786,0.0000,0.5991,0.8143,0.8321,0.8506,3.7660,2.0566,0.8167,0.9222,0.9711,1.0330,1.0120,1.0667,0.0000,0.0000,0.8449,0.8955,1.4896,1.7942,0.8191,1.0480,77.0000,0.0000,0.0000,
2,64,0.0892,0.9768,0.3800,0.1846,0.0000,0.6966,0.8991,0.8869,0.9349,7.1720,2.3196,0.8103,1.0048,1.0361,1.1184,1.0599,1.1387,0.0000,0.0000,0.9546,0.9657,1.8729,2.1453,0.9126,0.9780,83.0000,0.0000,0.0000,
18,64,0.0557,1.0534,0.3397,0.1805,0.0000,0.6910,0.9036,0.9826,1.0344,8.5803,1.5150,0.8542,1.0644,0.9939,1.2164,1.1598,1.2979,0.0000,0.0000,0.7746,1.0354,1.4465,1.4653,0.8522,0.9780,88.0000,0.0000,0.0000,
13,64,0.0724,1.0056,0.3023,0.2199,0.0000,0.6069,0.8714,0.8933,0.9471,10.7575,3.8892,0.9009,1.1117,1.1781,1.0720,1.1891,1.2512,0.0000,0.0000,1.0067,0.9947,1.6712,1.7085,0.9162,0.9993,80.0000,0.0000,0.0000,
1,64,0.0828,1.0061,0.3283,0.1837,0.0000,0.6351,0.8978,0.8640,0.8827,1.9644,3.1048,0.9031,0.9824,12.2314,1.0369,1.1087,1.1614,0.0000,0.0000,0.8159,0.9198,1.8756,1.9554,0.8692,0.9866,82.0000,0.0000,0.0000,
29,64,0.1036,0.9155,0.3333,0.1723,0.0000,0.6250,0.8488,0.8420,0.9715,10.9026,6.1285,1.0045,1.0570,0.8940,0.9437,0.9581,1.0447,0.0000,0.0000,0.8837,0.8902,0.9973,1.0675,0.7632,0.8545,79.0000,0.0000,0.0000,
31,64,0.0499,0.9410,0.3177,0.1741,0.0000,0.6615,0.9753,0.9328,0.9498,11.1806,6.6326,0.9803,1.1145,1.0027,0.9681,0.9382,1.0390,0.0000,0.0000,0.8585,0.8844,0.9647,0.9587,0.8185,0.9062,86.0000,0.0000,0.0000,
14,64,0.0660,1.1463,0.3823,0.1938,0.0000,0.7097,0.9949,1.0275,1.0801,11.5253,7.1112,1.0434,1.1272,1.0700,1.0449,0.9712,1.0679,0.0000,0.0000,0.7481,0.9807,1.1044,1.1728,0.8281,1.0046,100.0000,0.0000,0.0000,
